RESULT IS: FRAME ID 1, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 44, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 47, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 50, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 53, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 57, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 61, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 134, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 137, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 141, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 241, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 244, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 246, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 249, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 251, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 352, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 355, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 357, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 359, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 362, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 460, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 462, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 464, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 467, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 470, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 570, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 572, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 574, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 577, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 580, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 582, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 684, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 686, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 689, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 694, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 696, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 799, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 802, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 804, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 807, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 904, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 906, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 909, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 912, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 915, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 1013, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 1016, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 1020, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 1022, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 1024, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 1027, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 1031, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 1033, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 1130, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 1132, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 1135, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 1138, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 1141, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 1145, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 1148, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 1151, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 1247, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 1249, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 1252, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 1257, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 1260, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 1262, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 1266, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 1365, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 1371, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 1375, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 1377, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 1379, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 1382, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 1384, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 1480, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 1482, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 1485, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 1490, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 1493, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 1496, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 1498, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 1585, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 1589, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 1592, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 1594, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 1597, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 1600, LANDMARK.NO_LANDMARK, FRAME None
