RESULT IS: FRAME ID 1, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 37, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 41, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 43, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 113, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 126, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 131, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 189, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 195, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 202, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 294, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 300, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 306, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 312, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 402, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 408, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 414, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 418, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 424, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 430, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 496, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 502, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 509, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 515, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 600, LANDMARK.KEY_LANDMARK, FRAME PRESENT
