RESULT IS: FRAME ID 1, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 44, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 48, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 51, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 53, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 56, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 58, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 61, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 64, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 138, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 143, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 149, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 151, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 153, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 155, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 157, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 159, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 161, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 164, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 166, LANDMARK.NO_LANDMARK, FRAME None
RESULT IS: FRAME ID 258, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 261, LANDMARK.GENERAL_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 265, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 268, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 272, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 275, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 348, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 352, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 355, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 359, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 363, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 366, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 441, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 446, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 449, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 524, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 527, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 531, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 538, LANDMARK.KEY_LANDMARK, FRAME PRESENT
RESULT IS: FRAME ID 615, LANDMARK.KEY_LANDMARK, FRAME PRESENT
